"bin_midpoint","bin_id","bin_lower","bin_upper","plot_area_ac","r"
1.5,1,1,2,0.00666975410018329,0.725806451612903
2.5,2,2,3,0.00666975410018329,0.0967741935483871
3.5,3,3,4,0.00666975410018329,0.0967741935483871
4.5,4,4,5,0.00666975410018329,0.0806451612903226
5.5,5,5,6,0.166166884156815,0
6.5,6,6,7,0.166166884156815,0
7.5,7,7,8,0.166166884156815,0
8.5,8,8,9,0.166166884156815,0
9.5,9,9,10,0.166166884156815,0
10.5,10,10,11,0.166166884156815,0
11.5,11,11,12,0.166166884156815,0
12.5,12,12,13,0.166166884156815,0
13.5,13,13,14,0.166166884156815,0
14.5,14,14,15,0.166166884156815,0
15.5,15,15,16,0.166166884156815,0
16.5,16,16,17,0.166166884156815,0
17.5,17,17,18,0.166166884156815,0
18.5,18,18,19,0.166166884156815,0
19.5,19,19,20,0.166166884156815,0
20.5,20,20,21,0.166166884156815,0
21.5,21,21,22,0.166166884156815,0
22.5,22,22,23,0.166166884156815,0
23.5,23,23,24,0.166166884156815,0
24.5,24,24,25,1.00081218087789,0
25.5,25,25,26,1.00081218087789,0
26.5,26,26,27,1.00081218087789,0
27.5,27,27,28,1.00081218087789,0
28.5,28,28,29,1.00081218087789,0
29.5,29,29,30,1.00081218087789,0
30.5,30,30,31,1.00081218087789,0
31.5,31,31,32,1.00081218087789,0
32.5,32,32,33,1.00081218087789,0
33.5,33,33,34,1.00081218087789,0
34.5,34,34,35,1.00081218087789,0
35.5,35,35,36,1.00081218087789,0
36.5,36,36,37,1.00081218087789,0
37.5,37,37,38,1.00081218087789,0
38.5,38,38,39,1.00081218087789,0
39.5,39,39,40,1.00081218087789,0
40.5,40,40,41,1.00081218087789,0
41.5,41,41,42,1.00081218087789,0
42.5,42,42,43,1.00081218087789,0
43.5,43,43,44,1.00081218087789,0
44.5,44,44,45,1.00081218087789,0
45.5,45,45,46,1.00081218087789,0
46.5,46,46,47,1.00081218087789,0
47.5,47,47,48,1.00081218087789,0
48.5,48,48,49,1.00081218087789,0
49.5,49,49,50,1.00081218087789,0
50.5,50,50,51,1.00081218087789,0
51.5,51,51,52,1.00081218087789,0
52.5,52,52,53,1.00081218087789,0
53.5,53,53,54,1.00081218087789,0
54.5,54,54,55,1.00081218087789,0
55.5,55,55,56,1.00081218087789,0
56.5,56,56,57,1.00081218087789,0
57.5,57,57,58,1.00081218087789,0
58.5,58,58,59,1.00081218087789,0
59.5,59,59,60,1.00081218087789,0
60.5,60,60,61,1.00081218087789,0
61.5,61,61,62,1.00081218087789,0
62.5,62,62,63,1.00081218087789,0
63.5,63,63,64,1.00081218087789,0
64.5,64,64,65,1.00081218087789,0
65.5,65,65,66,1.00081218087789,0
66.5,66,66,67,1.00081218087789,0
67.5,67,67,68,1.00081218087789,0
68.5,68,68,69,1.00081218087789,0
69.5,69,69,70,1.00081218087789,0
70.5,70,70,71,1.00081218087789,0
71.5,71,71,72,1.00081218087789,0
72.5,72,72,73,1.00081218087789,0
73.5,73,73,74,1.00081218087789,0
74.5,74,74,75,1.00081218087789,0
75.5,75,75,76,1.00081218087789,0
76.5,76,76,77,1.00081218087789,0
77.5,77,77,78,1.00081218087789,0
78.5,78,78,79,1.00081218087789,0
79.5,79,79,80,1.00081218087789,0
80.5,80,80,81,1.00081218087789,0
81.5,81,81,82,1.00081218087789,0
82.5,82,82,83,1.00081218087789,0
83.5,83,83,84,1.00081218087789,0
84.5,84,84,85,1.00081218087789,0
85.5,85,85,86,1.00081218087789,0
86.5,86,86,87,1.00081218087789,0
87.5,87,87,88,1.00081218087789,0
88.5,88,88,89,1.00081218087789,0
89.5,89,89,90,1.00081218087789,0
90.5,90,90,91,1.00081218087789,0
91.5,91,91,92,1.00081218087789,0
92.5,92,92,93,1.00081218087789,0
93.5,93,93,94,1.00081218087789,0
94.5,94,94,95,1.00081218087789,0
95.5,95,95,96,1.00081218087789,0
96.5,96,96,97,1.00081218087789,0
97.5,97,97,98,1.00081218087789,0
98.5,98,98,99,1.00081218087789,0
99.5,99,99,400,1.00081218087789,0
